epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,13949,0.71603,0.7138,1.11876,0.94217,0.95492,0.97921,0.87804,0.44377,0.40293,0.89815,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,14277.8,0.70634,0.70061,1.11466,0.94172,0.95522,0.9783,0.88144,0.44081,0.39348,0.8956,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,14602.9,0.70214,0.69748,1.11377,0.93224,0.95633,0.97771,0.88262,0.43673,0.38826,0.89471,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,14933.6,0.69801,0.68641,1.10906,0.94936,0.95318,0.97866,0.88612,0.43279,0.38134,0.8925,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,15270.4,0.69152,0.67542,1.10624,0.93577,0.96752,0.98023,0.88555,0.42928,0.38614,0.89228,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,15601.9,0.69359,0.67157,1.10592,0.95416,0.9595,0.98042,0.88989,0.42568,0.3778,0.88736,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,15944.8,0.68478,0.66514,1.10021,0.95192,0.95659,0.98134,0.89194,0.42204,0.37019,0.88401,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,16296.7,0.67901,0.65661,1.09915,0.95266,0.96206,0.98179,0.89379,0.42095,0.36652,0.88419,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,16642.3,0.66753,0.64631,1.09114,0.96222,0.96289,0.98223,0.89509,0.41831,0.35861,0.88234,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,16983.4,0.66035,0.64069,1.08707,0.95731,0.96315,0.98132,0.89618,0.4188,0.35663,0.88015,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,17332,0.65845,0.62592,1.08636,0.95923,0.96251,0.98102,0.89571,0.41725,0.34977,0.87972,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,17673.7,0.65163,0.62238,1.08482,0.96021,0.95999,0.98315,0.89744,0.41352,0.34487,0.87808,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,18010.7,0.6512,0.61864,1.08456,0.95925,0.96407,0.98351,0.89945,0.41213,0.3402,0.8782,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,18350.1,0.64308,0.61122,1.07807,0.95941,0.96453,0.98315,0.90255,0.40944,0.33895,0.87608,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,18691.1,0.63758,0.60746,1.07566,0.96287,0.9627,0.98334,0.9044,0.40558,0.33647,0.87384,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,19030.3,0.63049,0.59988,1.07129,0.96351,0.96651,0.98434,0.90457,0.40408,0.33283,0.87293,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,19367.1,0.62746,0.59436,1.0689,0.96345,0.96529,0.98418,0.90447,0.40257,0.32877,0.87151,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,19705,0.62469,0.58662,1.06743,0.96231,0.96505,0.98468,0.90461,0.40119,0.32597,0.87061,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,20041.6,0.61881,0.58607,1.06477,0.96307,0.96465,0.98435,0.90559,0.4001,0.32205,0.86917,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,20379,0.6134,0.57756,1.06064,0.96251,0.96524,0.98523,0.90773,0.3975,0.31824,0.8679,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,20717.8,0.60765,0.56655,1.06101,0.96565,0.96685,0.98489,0.90833,0.3953,0.31574,0.86639,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,21062.6,0.60339,0.55666,1.05516,0.96609,0.96896,0.98547,0.90852,0.3932,0.31425,0.86534,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,21397.9,0.59754,0.55537,1.05386,0.96534,0.96853,0.98593,0.90989,0.39203,0.31255,0.8648,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,21730.6,0.59065,0.5479,1.05065,0.9664,0.96787,0.98617,0.91074,0.39081,0.31017,0.86424,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,22062.7,0.5883,0.54544,1.04809,0.96563,0.9692,0.98622,0.91116,0.38996,0.3101,0.86347,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,22394.3,0.58363,0.54028,1.04458,0.96554,0.96867,0.98639,0.9118,0.38837,0.30834,0.8627,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,22726.1,0.57657,0.53236,1.04227,0.96664,0.9683,0.98653,0.9128,0.38752,0.30623,0.86214,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,23056.8,0.57273,0.52965,1.04212,0.96652,0.96847,0.98661,0.91343,0.38652,0.30485,0.86161,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,23386.2,0.5681,0.52052,1.03734,0.9658,0.96963,0.98666,0.9143,0.38599,0.30444,0.86145,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,23714.8,0.50719,0.34612,1.01489,0.96585,0.96919,0.98678,0.91535,0.38473,0.30303,0.8604,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,24043.6,0.49699,0.33293,1.00765,0.96582,0.97005,0.98694,0.91597,0.38375,0.30097,0.8594,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,24369.2,0.47401,0.3194,0.9917,0.96575,0.97088,0.98697,0.91596,0.38249,0.29904,0.85829,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,24697.9,0.46899,0.31494,0.98574,0.96657,0.97089,0.98713,0.91737,0.38131,0.29675,0.85709,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,25027.3,0.45986,0.3096,0.98263,0.96693,0.97152,0.98729,0.91722,0.38011,0.29525,0.8561,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,25351.1,0.45043,0.30145,0.97405,0.96704,0.9715,0.98732,0.91847,0.37907,0.29386,0.855,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,25676.2,0.44138,0.29451,0.96933,0.96725,0.97136,0.98727,0.91907,0.37801,0.29234,0.85426,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,26000.4,0.43589,0.29161,0.96623,0.96745,0.97121,0.9873,0.91938,0.37724,0.29046,0.85349,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,26327.4,0.42706,0.28612,0.95946,0.9673,0.97188,0.98739,0.91957,0.37657,0.28928,0.8529,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,26652.1,0.42594,0.28425,0.96115,0.96894,0.9722,0.98739,0.91928,0.37624,0.28845,0.8525,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
